value,hits,bytes,cost,Price,dup
EZLivingInteriors-Charm3Seater.usdz,81,1365237201,0.0329,749.0,False
EZLivingInteriors-Clara2Seater.usdz,80,1407429785,0.0367,649.0,False
EZLiving_-_PanamaBlue.usdz,80,639046695,0.0,,False
HarrisPink.usdz,79,162284744,0.0,349.0,False
BrightonArmchairGrey.usdz,78,400602844,0.0,,False
EZLivingInteriors_-_Inspire2Seater.usdz,78,802168012,0.0,499.0,False
Laura3Seater.usdz,77,314796526,0.0,399.0,False
EZLivingInteriors_-_NattyLoveseat.usdz,76,990361856,0.0,899.0,False
EZLivingInteriors-Charm2Seater.usdz,75,1282116281,0.0254,649.0,False
EZLivingInteriors-AdamBed4%25276%2522.usdz,75,158668339,0.0,349.0,False
EZLivingInteriors-Adam3Drawer.usdz,74,33981552,0.0,199.0,False
EZLivingInteriors-SofiaChairBlue.usdz,73,268423345,0.0,308.0,False
EZLivingInteriors_-_CaliaConsoleTable.usdz,73,273862995,0.0,299.0,False
EZLivingInteriors-CheltenhamBedsideLocker.usdz,73,131316500,0.0,179.0,False
EZLivingInteriors_-_GodwinTurquoise.usdz,72,914257298,0.0,299.0,False
EZLiving_-_PanamaCharcoal.usdz,72,524142541,0.0,299.0,False
Taylor3Seater.usdz,72,454199262,0.0,1297.0,False
Model01GreenVelvet.glb,72,284048674,0.0,,False
RugLightBlue.usdz,71,638524155,0.0,319.0,False
EZLivingInteriors_-_KendalArmchairGrey.usdz,71,534784989,0.0,399.0,False
EZLivingInteriors-ClaraWingedAccentChair.usdz,71,1089146855,0.0081,499.0,False
EZLivingInteriors_-_KendalArmchairFootrestGrey.usdz,70,537626571,0.0,399.0,False
HarrisTurquoise.usdz,70,131676230,0.0,299.0,False
EZLivingInteriors-SofiaChairCharcoal.usdz,70,287362981,0.0,308.0,False
Emily46Bed.usdz,70,363183810,0.0,299.0,False
EZLivingInteriors_-_ZeldaOrange.usdz,69,2116685999,0.1005,399.0,False
EminenceCeramicStoneDoubleOpen.usdz,68,85222088,0.0,1099.0,False
Emily6DrawerDresser.usdz,68,38415308,0.0,299.0,False
PanamaConsoleTableGrey.usdz,68,60715519,0.0,179.0,False
EZLiving_-_PanamaPink.usdz,68,606096403,0.0,299.0,False
EZLivingInteriors_-_CaliaEntertainmentUnit.usdz,67,505243782,0.0,599.0,False
EZLivingInteriors_-_GodwinNavy.usdz,67,806545711,0.0,349.0,False
BrightonArmchairPink.usdz,66,313681276,0.0,,False
EZLivingInteriors-CharmBenchFootstool.usdz,66,754883607,0.0,269.0,False
EZLivingInteriors-Brinley_15L_25RCharcoal.usdz,65,199390273,0.0,1199.0,False
EZLivingInteriors_-_GodwinGreen.usdz,65,847449344,0.0,349.0,False
EZLivingInteriors-SofiaChairGreen.usdz,65,245843657,0.0,348.0,False
EZLivingInteriors-MontreuxGrey.usdz,64,375410701,0.0,849.0,False
HarrisNavy.usdz,62,118599304,0.0,349.0,False
